Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR10015092,2022-11-30 23:34:53,2022-12-16 03:42:38,96976954,29065719969,96976954,299,7128,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR010/10015/ERR10015092/ERR10015092.lite.1,ERX9556033,CRN_ADOSDC_6_1_HGCTHBBXY.12BA140,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP139684,PRJEB54826,,906849,ERS12479988,SAMEA110381793,simple,3512,Quercus rubra,SAMEA110381793,,,,,,,no,,,,,INRA BORDEAUX,ERA16657921,,public,2E49264A28F6E20D747A2BBA28A0F9EA,F1C5C99ACB68611466C9F6411CA3DE66
SRR11398771,2021-04-01 00:07:47,2020-03-24 05:53:50,51844416,15553324800,51844416,300,5623,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR011/11398/SRR11398771/SRR11398771.lite.1,SRX7977507,NDSW66327,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP253817,PRJNA614601,,614601,SRS6362203,SAMN14433646,simple,2294079,Quercus guyavifolia,GMXG2,,,,,,,no,,,,,"KUNMING INSTITUTE OF BOTANY, CHINESE ACADEMY OF SCIENCES",SRA1058648,,public,094B72C295D1499D762CBDC0E1C88C01,8DF01C1875DAE608DE8000D743831367
SRR11398778,2021-04-01 00:07:46,2020-03-24 05:24:49,48876233,14662869900,48876233,300,5337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR011/11398/SRR11398778/SRR11398778.lite.1,SRX7977500,NDSW66320,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP253817,PRJNA614601,,614601,SRS6362196,SAMN14433640,simple,2294079,Quercus guyavifolia,GZD4,,,,,,,no,,,,,"KUNMING INSTITUTE OF BOTANY, CHINESE ACADEMY OF SCIENCES",SRA1058648,,public,6907CB7DB8693F06C62F7AE9F50317F3,6B168D7B8F5816F4F7C9D00F29A97371
SRR14632927,2021-05-24 16:15:11,2021-05-24 15:26:57,119506627,24140338654,119506627,202,10495,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14632/SRR14632927/SRR14632927.lite.1,SRX10972847,Qlob.CRE.5.00F.b,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP319863,PRJNA729978,,729978,SRS9050286,SAMN19163032,simple,97700,Quercus lobata,Qlob.CRE.5.00F.b,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",SRA1234471,,public,34FD8EB826A2EE51BA1D04E1763F5017,C5A635E2C6B04139138DF0670833A759
SRR14632920,2021-05-24 16:59:48,2021-05-24 16:00:55,130507268,26362468136,130507268,202,10632,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14632/SRR14632920/SRR14632920.lite.1,SRX10972854,Qlob.CTW.6.00F.b,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP319863,PRJNA729978,,729978,SRS9050293,SAMN19163033,simple,97700,Quercus lobata,Qlob.CTW.6.00F.b,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",SRA1234471,,public,4C6C1489AB0587E06188B3C7AF13B213,C734B06835609E25388322B9B48E561D
SRR14632929,2021-05-24 15:29:35,2021-05-24 15:11:36,113499351,22926868902,113499351,202,10343,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14632/SRR14632929/SRR14632929.lite.1,SRX10972845,Qlob.PSK.4.00F.w6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP319863,PRJNA729978,,729978,SRS9050285,SAMN19163125,simple,97700,Quercus lobata,Qlob.PSK.4.00F.w6,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",SRA1234471,,public,F613FC9DB754E33517878AFAD3655C53,77E07D99FCE8D8B2026A1846613943DF
SRR14632924,2021-05-24 16:15:11,2021-05-24 15:20:08,162896895,32905172790,162896895,202,14508,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14632/SRR14632924/SRR14632924.lite.1,SRX10972850,Qlob.TAC.3.00F.w6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP319863,PRJNA729978,,729978,SRS9050289,SAMN19163129,simple,97700,Quercus lobata,Qlob.TAC.3.00F.w6,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",SRA1234471,,public,D4B254BF4C1C0069EC74CB3079640B3A,5C0AF1FC0CE41EE257B637DE18E1313E
SRR14632922,2021-05-24 15:29:35,2021-05-24 15:01:49,74992505,15148486010,74992505,202,6679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14632/SRR14632922/SRR14632922.lite.1,SRX10972852,Qlob.WIL.3.00F.w6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP319863,PRJNA729978,,729978,SRS9050291,SAMN19163131,simple,97700,Quercus lobata,Qlob.WIL.3.00F.w6,,,,,,,no,,,,,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",SRA1234471,,public,8DA2D1173A0381EDF7F3A910AF85B6AD,C89875B435665D1D849C2853EB8951F4
SRR16661048,2022-02-03 08:01:16,2021-11-01 12:06:09,90361924,27108577200,90361924,300,10528,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16661/SRR16661048/SRR16661048.lite.1,SRX12861756,L59,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP343961,PRJNA773751,,773751,SRS10805001,SAMN22511276,simple,1077959,Quercus fabri,s0716-3-5_NDSW49913,,,,,,,no,,,,,SOUTH CHINA BOTANICAL GARDEN,SRA1320079,,public,F59B527D111DB9B1541678CA7BAF3806,7A7E769F22A62361536FC28AEC20B6D0
SRR16661037,2022-02-03 08:01:16,2021-11-01 11:20:55,69442570,20832771000,69442570,300,7065,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16661/SRR16661037/SRR16661037.lite.1,SRX12861767,L69,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP343961,PRJNA773751,,773751,SRS10805012,SAMN22511286,simple,1077959,Quercus fabri,s0810-2-6_BDSW190010071-1a,,,,,,,no,,,,,SOUTH CHINA BOTANICAL GARDEN,SRA1320079,,public,4A6F333036B1875167AA85FE9A770E12,D502123F773AF26F9D4B8B557E72DDE5
